lat,lon
36.5406732,136.6573167
25.93773905,-80.17860244
36.08195921,-90.5116569
35.64058481,139.6122202
33.82444431,130.8949724
42.28775644,74.72520876
29.76291252,-82.3888699
41.24020782,20.73290803
33.98674673,-78.2874373
20.46063127,-100.5365799
28.60000038,77.19999695
34.07640076,-118.2626038
26.58095961,-82.02141438
38.14828505,-97.3357187
41,64
11.16708477,75.89818182
61.28994584,10.19204802
51.51602868,-0.097478574
11.7474149,104.9296014
12.85076641,79.70399838
6.575052024,3.335877409
47.82026122,11.11724273
40.74489975,-73.97820282
26.59104501,82.90590698
39.51446634,115.1861445
29.30050087,-81.19480133
38.80479813,-77.04689789
37.24974071,-94.68814035
30.06669998,31.29999924
42.96250928,-83.73397038
38.13129997,-97.02555084
35.7214354,-78.87493689
35.69026817,139.9742815
37.15215166,-93.28899111
48.14887497,11.57636863
38.39916245,-121.3855364
42.50706635,-83.16336427
39.28027671,-74.69169578
-37.65088537,144.8339635
22.37522541,87.33214139
33.91880035,-84.06780243
24.42116189,39.42038822
33.91643321,-118.1466551
58.11176109,28.32187675
33.88672492,35.8368601
51.58993535,-0.07102184
40.46976567,30.22409717
33.9989884,-84.25130576
37.38740158,-121.9023972
27.44456342,-81.43309937
41.8351228,-83.55798051
-33.73003053,150.98311
41.98306881,-71.18862582
38,-97
38,-97
38.37094207,-94.30234491
28.09465392,-82.51593508
38.9932688,-77.22999757
34.11660241,-118.7271559
33.37692789,-117.3607003
39.22186165,-94.67768472
33.11134866,-117.1554909
38.98742104,-9.199542096
38.84183847,-77.10623238
42.11962193,-70.75513771
40.80072601,-73.97978052
40.74580002,-74.03209686
41.04653168,-78.54013136
33.42175072,-111.8329022
32.84033065,-96.85908078
40.83912827,-74.18244796
38,-97
34.96170554,-82.292638
53.16034968,-1.205487713
51.54219425,-0.109032332
-26.6331002,153.0099717
-37.85050151,145.2103235
37.64911563,-122.0411491
23.73329926,-99.13330078
23.60012071,87.02580046
30.20248465,-97.70903027
52.49072178,-2.065784407
37.79929496,-122.3978447
34.06740189,-118.2423019
40.71622207,-74.01321793
30.19623193,-81.60365544
35.43812008,128.9651233
40.42336807,-74.51354828
25,45
40.72669983,-73.99810028
39.66776657,116.8200684
28.92407468,76.53128423
28.63330078,77.21669769
37.34335191,-79.20387642
-34.50632216,150.7830751
41.8712119,-76.38807353
33.83106639,-117.865062
33.68482975,74.22783869
